personality,thinking,perception,thought,LRscore,career
Introverted,Feeler,Perceiver,Sensing,42,Engineering
Extroverted,Feeler,Perceiver,Intuition,17,Communications
Introverted,Thinker,Judger,Intuition,59,Healthcare
Extroverted,Thinker,Judger,Sensing,73,Law
Introverted,Feeler,Judger,Sensing,85,Education
Introverted,Thinker,Perceiver,Sensing,64,Business
Extroverted,Feeler,Perceiver,Sensing,8,Government
Extroverted,Feeler,Perceiver,Sensing,20,Arts
Extroverted,Thinker,Perceiver,Sensing,96,Sales
Introverted,Thinker,Perceiver,Intuition,15,Architecture
Extroverted,Thinker,Judger,Intuition,6,Healthcare
Introverted,Feeler,Judger,Intuition,68,Education
Introverted,Thinker,Perceiver,Intuition,90,Arts
Introverted,Feeler,Perceiver,Intuition,32,Healthcare
Extroverted,Feeler,Judger,Sensing,24,Communications
Introverted,Feeler,Perceiver,Intuition,51,Engineering
Introverted,Thinker,Judger,Sensing,80,Law
Extroverted,Feeler,Judger,Intuition,44,Education
Introverted,Thinker,Perceiver,Sensing,27,Arts
Extroverted,Feeler,Judger,Sensing,77,Engineering
Introverted,Thinker,Perceiver,Intuition,69,Healthcare
Introverted,Feeler,Perceiver,Sensing,1,Architecture
Extroverted,Thinker,Perceiver,Sensing,37,Communications
Introverted,Thinker,Judger,Intuition,56,Sales
Extroverted,Feeler,Judger,Sensing,11,Healthcare
Introverted,Thinker,Perceiver,Intuition,31,Arts
Extroverted,Feeler,Perceiver,Intuition,50,Engineering
Introverted,Thinker,Judger,Sensing,3,Healthcare
Introverted,Feeler,Perceiver,Sensing,88,Education
Extroverted,Feeler,Perceiver,Sensing,71,Architecture
Extroverted,Thinker,Perceiver,Sensing,18,Engineering
Extroverted,Thinker,Judger,Intuition,22,Sales
Introverted,Feeler,Judger,Sensing,63,Healthcare
Extroverted,Thinker,Judger,Intuition,99,Communications
Introverted,Feeler,Perceiver,Sensing,70,Engineering
Introverted,Thinker,Perceiver,Intuition,7,Arts
Extroverted,Feeler,Perceiver,Intuition,91,Healthcare
Introverted,Feeler,Perceiver,Sensing,58,Education
Introverted,Thinker,Judger,Intuition,28,Sales
Extroverted,Feeler,Judger,Sensing,21,Architecture
Introverted,Thinker,Perceiver,Sensing,84,Engineering
Extroverted,Thinker,Perceiver,Sensing,61,Healthcare
Introverted,Feeler,Perceiver,Intuition,5,Communications
Extroverted,Thinker,Judger,Sensing,48,Engineering
Introverted,Thinker,Perceiver,Intuition,38,Sales
Extroverted,Feeler,Perceiver,Sensing,82,Healthcare
Introverted,Feeler,Perceiver,Intuition,10,Arts
Introverted,Thinker,Judger,Sensing,76,Education
Extroverted,Thinker,Perceiver,Sensing,2,Architecture
Introverted,Feeler,Perceiver,Sensing,66,Engineering
Extroverted,Feeler,Perceiver,Intuition,33,Communications
Introverted,Thinker,Judger,Sensing,13,Healthcare